participant_id,resume_available,experience_level,education_level,primary_language
1,0,senior,bachelor,zh
2,0,mid,master,en
3,1,junior,bachelor,zh
4,1,junior,bachelor,zh
5,0,mid,bachelor,zh
6,1,junior,master,en
7,0,junior,,zh
8,0,mid,master,zh
9,1,junior,bachelor,zh
10,1,mid,bachelor,zh
11,1,junior,master,
12,1,mid,master,en
13,1,mid,master,en
14,1,senior,master,
15,1,senior,master,zh
16,1,junior,master,en
17,1,mid,master,zh
18,1,junior,bachelor,
19,0,senior,master,
20,1,junior,bachelor,zh
21,1,junior,bachelor,zh
22,1,junior,bachelor,zh
23,1,mid,master,en
24,1,senior,master,zh
25,1,junior,master,en
26,1,mid,master,zh
27,1,mid,master,zh
28,1,senior,master,en
29,0,junior,bachelor,zh
30,1,mid,bachelor,zh
31,1,senior,master,en
32,1,junior,,en
33,1,mid,master,zh
34,1,junior,bachelor,zh
35,1,senior,master,zh
36,1,senior,bachelor,zh
37,1,junior,bachelor,zh
38,1,junior,bachelor,zh
39,0,junior,,en
40,0,junior,bachelor,zh
41,1,junior,bachelor,zh
42,1,mid,master,zh
43,1,senior,master,zh
44,0,mid,master,
45,0,mid,,zh
46,1,junior,bachelor,zh
47,1,junior,master,en
48,0,junior,master,zh
49,1,junior,,zh
50,1,junior,bachelor,zh
51,0,mid,,en
52,1,senior,master,en
53,1,junior,,
54,0,junior,master,zh
55,1,mid,master,
56,1,mid,master,zh
57,1,junior,bachelor,zh
58,0,mid,bachelor,
59,1,mid,,zh
60,1,mid,master,en
61,0,junior,master,en
62,1,senior,bachelor,
63,0,mid,bachelor,
64,1,senior,bachelor,
65,0,mid,master,en
66,1,junior,,zh
67,1,mid,master,zh
68,0,mid,,zh
69,0,junior,bachelor,
70,1,mid,master,
71,0,junior,master,zh
72,0,junior,master,
73,0,senior,master,en
74,0,mid,,en
75,1,junior,bachelor,zh
76,1,senior,master,en
77,1,mid,master,en
78,1,senior,bachelor,en
79,1,senior,master,zh
80,1,senior,master,zh
81,1,senior,master,en
82,1,junior,master,zh
83,1,mid,bachelor,zh
84,1,junior,master,zh
85,1,junior,bachelor,
86,0,mid,master,zh
87,1,senior,master,en
88,0,mid,,zh
89,1,junior,master,en
90,1,junior,,zh
91,0,junior,bachelor,zh
92,1,mid,bachelor,zh
93,1,junior,bachelor,
94,1,mid,bachelor,
95,1,junior,master,zh
96,1,junior,bachelor,zh
97,1,junior,master,zh
98,1,mid,,
99,1,senior,bachelor,en
100,1,senior,master,zh
