session_id,satisfaction
1,5
2,2
3,4
4,4
5,3
6,5
7,5
8,5
9,5
10,5
11,3
12,4
13,3
14,5
15,4
16,5
17,4
18,4
19,4
20,4
21,5
22,4
23,5
24,4
25,5
26,3
27,4
28,5
29,5
30,5
31,5
32,5
33,4
34,4
35,3
36,4
37,5
38,3
39,3
40,5
41,3
42,5
43,3
44,3
45,2
46,4
47,3
48,5
49,4
50,4
51,4
52,3
53,4
54,5
55,5
56,5
57,3
58,4
59,5
60,4
61,4
62,5
63,5
64,4
65,5
66,5
67,5
68,5
69,5
70,4
71,5
72,5
73,5
74,4
75,3
76,5
77,5
78,4
79,5
80,4
81,4
82,3
83,5
84,3
85,4
86,5
87,4
88,5
89,3
90,4
91,3
92,5
93,4
94,4
95,4
96,4
97,4
98,4
99,4
100,4
101,2
102,3
103,5
104,4
105,2
106,3
107,3
108,3
109,5
110,4
111,5
112,2
113,4
114,5
115,3
116,5
117,5
118,4
119,5
120,4
121,3
122,5
123,4
124,4
125,5
126,4
127,4
128,2
129,4
130,4
131,5
132,4
133,3
134,3
135,5
136,5
137,4
138,5
139,5
140,4
141,5
142,2
143,2
144,4
145,4
146,5
147,4
148,3
149,4
150,3
151,4
152,5
153,4
154,4
155,3
156,4
157,4
158,4
159,5
160,4
161,4
162,5
163,4
164,4
165,5
166,5
167,4
168,5
169,4
170,5
171,5
172,5
173,4
174,4
175,4
176,5
177,4
178,3
179,3
180,3
181,4
182,4
183,2
184,4
185,5
186,4
187,4
188,4
189,5
190,5
191,4
192,3
193,4
194,4
195,2
196,3
197,5
198,4
199,5
200,4
201,5
202,4
203,5
204,4
205,5
206,4
207,5
208,3
209,4
210,4
211,5
212,5
213,5
214,4
215,4
216,4
217,3
218,5
219,5
220,4
221,4
222,5
223,5
224,3
225,4
226,4
227,3
228,3
229,4
230,5
231,5
232,5
233,4
234,3
235,4
236,3
237,4
238,3
239,5
240,3
241,3
242,4
243,4
244,4
245,3
246,3
247,3
248,3
249,4
250,5
251,4
252,3
253,4
254,5
255,4
256,4
257,4
258,4
259,3
260,4
261,4
262,4
263,5
264,3
265,4
266,3
267,3
268,4
269,4
270,4
271,5
272,4
273,4
274,3
275,5
276,4
277,3
278,5
279,3
280,5
281,5
282,5
283,5
284,4
285,4
286,3
287,5
288,5
289,4
290,5
291,4
292,4
293,5
294,4
295,4
296,2
297,3
298,3
299,3
300,3
